id,price,dimension,address,inserted_at
170,R$ 950,53,"Rua Belmiro Bento, 1 - Setor Residencial Garavelo I, Trindade - GO",2024-09-05 19:50:44.643874
171,R$ 150.000,2,"Jardins Berlim, Senador Canedo - GO",2024-09-05 19:50:44.864068
172,R$ 650,2,"Vista Alegre - 1ª Seção, Ibirité - MG",2024-09-05 19:50:45.153697
173,,1,,2024-09-05 19:50:45.406683
174,,,,2024-09-05 19:50:45.696274
175,,,,2024-09-05 19:50:45.907253
176,,,,2024-09-05 19:50:46.112439
177," 290000",330,"Avenida Atlântica, 3 - Santo Antonio, Eusébio - CE",2024-09-05 19:52:11.076479
178," 299000",367,"Avenida Atlântica - Bairro Cidade Alpha, Eusébio - CE",2024-09-05 19:52:11.377534
179," 120000",275,"Avenida José Amora Sá - Cidade Alpha, Eusébio - CE",2024-09-05 19:52:11.63416
180," 910000",460,"CE-040, 700 - Coacu, Eusébio - CE",2024-09-05 19:52:11.834896
181," 260000",275,"Rodovia Quarto Anel Viário, 1 - Eusebio, Eusébio - CE",2024-09-05 19:52:12.105282
182," 340000",344,"Cidade Alpha, Eusébio - CE",2024-09-05 19:52:12.33978
183," 11300000",56664,"Encantada, Eusébio - CE",2024-09-05 19:52:12.542368
184," 125951",150,"Rua Antônio Martins Freire, 400 - Coité, Eusébio - CE",2024-09-05 19:52:12.81509
185," 680000",500,"Avenida Eusébio de Queiroz, 13 - Coité, Eusébio - CE",2024-09-05 19:52:13.050091
186," 119343",150,"Coité, Eusébio - CE",2024-09-05 19:52:13.258359
187," 199760",275,"Rodovia Quarto Anel Viário - Cidade Alpha, Eusébio - CE",2024-09-05 19:52:13.456445
188," 140350",212,"CE-040 - Eusebio, Eusébio - CE",2024-09-05 19:52:13.653951
189," 280000",325,"Centro, Eusébio - CE",2024-09-05 19:52:13.866805
190," 450000",480,Eusébio - CE,2024-09-05 19:52:14.071002
191," 49900",150,"Rua Santa Adélia - Tamatanduba, Eusébio - CE",2024-09-05 19:52:14.268945
192," 350000",397,"Avenida Atlântica, 2100 - Cidade Alpha, Eusébio - CE",2024-09-05 19:52:14.473736
193," 890000",397,"Coacu, Eusébio - CE",2024-09-05 19:52:14.669409
194," 925000",639,"Centro, Eusébio - CE",2024-09-05 19:52:14.880657
195," 285000",0,"Avenida Atlântica, SN - Cidade Alpha, Eusébio - CE",2024-09-05 19:52:15.159856
196," 12000000",30000,"Estrada do Fio, 3335 - Eusebio, Eusébio - CE",2024-09-05 19:52:15.364122
197," 6500000",9600,"Guaribas, Eusébio - CE",2024-09-05 19:52:15.592324
198," 254549",317,"Avenida Eusébio de Queiroz, 1 - Coité, Eusébio - CE",2024-09-05 19:52:15.803501
199," 180000",200,"Avenida Noé Leite de Freitas, 300 - Urucunema, Eusébio - CE",2024-09-05 19:52:16.029715
200," 315000",363,"Cidade Alpha, Eusébio - CE",2024-09-05 19:52:16.243108
201," 320000",330,"Cidade Alpha, Eusébio - CE",2024-09-05 19:52:16.528348
202," 125000",150,"Rua Alisson Silva dos Santos, 264 - Coité, Eusébio - CE",2024-09-05 19:52:16.747298
203," 120000",165,"Coité, Eusébio - CE",2024-09-05 19:52:17.039885
204," 6000000",15000,"Rua Jose Bento, 127 - Amador, Eusébio - CE",2024-09-05 19:52:17.335728
205," 525000",1428,"Rua Raul Tavares, 259 - Jabuti, Eusébio - CE",2024-09-05 19:52:17.58145
206," 215000",275,"Rodovia 4º Anel Viário - Tamatanduba, Eusébio - CE",2024-09-05 19:52:17.780682
207," 450000",450,"Cidade Alpha, Eusébio - CE",2024-09-05 19:52:17.986289
208," 215000",275,"Rua José Amora Sá - Cidade Alpha, Eusébio - CE",2024-09-05 19:52:18.184079
209," 155000",233,"Jacunda, Eusébio - CE",2024-09-05 19:52:18.463198
210," 220000",315,"Eusebio, Eusébio - CE",2024-09-05 19:52:18.679056
211," 125000",150,"Tamatanduba, Eusébio - CE",2024-09-05 19:52:18.952455
212," 12000000",30000,"Estrada do Fio, 3371 - Coacu, Eusébio - CE",2024-09-05 19:52:19.233518
213," 1280000",180,"Rua Sorocotuba - Morro Sorocotuba, Guarujá - SP",2024-09-05 19:52:19.452491
